Species,"Grid reference",Location,Date,Recorder,Determiner
"Lumbricus terrestris",SU508939,"Sutton Courtenay 1km sq",2014/11/05,"Richard Comont","Richard Comont"
"Satchellius mammalis",SU503941,"Sutton Courtenay 1km sq",2014/12/17,"Richard Comont","Richard Comont"
"Octolasion cyaneum",SU503941,"Sutton Courtenay 1km sq",2014/12/17,"Richard Comont","Richard Comont"
"Lumbricus terrestris",SU503941,"Sutton Courtenay 1km sq",2014/12/17,"Richard Comont","Richard Comont"
"Lumbricus castaneus",SU503941,"Sutton Courtenay 1km sq",2014/12/17,"Richard Comont","Richard Comont"
"Eisenia fetida",SU503941,"Sutton Courtenay 1km sq",2014/12/17,"Richard Comont","Richard Comont"
"Aporrectodea rosea",SU503941,"Sutton Courtenay 1km sq",2014/12/17,"Richard Comont","Richard Comont"
"Aporrectodea longa",SU503941,"Sutton Courtenay 1km sq",2014/12/17,"Richard Comont","Richard Comont"
"Lumbricus rubellus",SU781718,"Dinton Pastures Country Park: Site 3",2015/10/17,"Dan Carpenter","Becky Wilson"
"Lumbricus terrestris",SU516974,"Radley lakes",2013/01/26,"Richard Comont","Richard Comont"
"Octolasion cyaneum",SU515974,"Radley lakes",2013/04/06,"Richard Comont","Richard Comont"
"Lumbricus terrestris",SU515974,"Radley lakes",2013/04/06,"Richard Comont","Richard Comont"
"Lumbricus castaneus",SU515974,"Radley lakes",2013/04/06,"Richard Comont","Richard Comont"
"Lumbricus terrestris",SU514973,"Radley lakes",2014/03/14,"Richard Comont","Richard Comont"
"Eiseniella tetraedra",SU785726,"Dinton Pastures Country Park: Site 4",2015/10/17,"Dan Carpenter","Bernard Baverstock"
"Dendrodrilus rubidus",SU785726,"Dinton Pastures Country Park: Site 4",2015/10/17,"Dan Carpenter","Bernard Baverstock"
"Lumbricus rubellus",SU804690,"St Paul's church",2015/10/31,"Keith Lugg","Keith Lugg"
"Lumbricus terrestris",SU804690,"St Paul's church",2015/10/31,"Keith Lugg","Keith Lugg"
"Eisenia fetida",SU804690,"St Paul's Church, Wokingham",2015/07/22,"Keith Lugg","Keith Lugg"
"Eisenia fetida",SU715685,,2014/05/31,"Keith Lugg","Keith Lugg"
"Allolobophora chlorotica",SU715685,,2014/05/31,"Keith Lugg","Keith Lugg"
"Lumbricus terrestris",SU504941,,2013/06/01,"Richard Comont","Richard Comont"
"Eisenia fetida",SU504941,,2013/06/02,"Richard Comont","Richard Comont"
"Lumbricus terrestris",SU504940,"Bekynton House",2014/01/11,"Richard Comont","Richard Comont"
"Lumbricus castaneus",SU504940,"Bekynton House",2014/01/11,"Richard Comont","Richard Comont"
"Allolobophora chlorotica",SU504940,"Bekynton House",2014/01/11,"Richard Comont","Richard Comont"
"Lumbricus terrestris",SU504941,"Bekynton House",2013/02/13,"Richard Comont","Richard Comont"
"Lumbricus castaneus",SU504941,"Bekynton House",2013/02/16,"Richard Comont","Richard Comont"
"Octolasion cyaneum",SU504940,"Bekynton House",2013/03/01,"Richard Comont","Richard Comont"
"Lumbricus terrestris",SU504940,"Bekynton House",2013/03/01,"Richard Comont","Richard Comont"
"Eisenia fetida",SU504941,"Bekynton House",2014/11/13,"Richard Comont","Richard Comont"
"Allolobophora chlorotica",SU504941,"Bekynton House",2014/11/13,"Richard Comont","Richard Comont"
"Eisenia fetida",SU714684,"Mere Oak Park",2015/01/01,"Keith Lugg","Keith Lugg"
"Aporrectodea caliginosa",SU714684,"Mere Oak Park",2015/01/01,"Keith Lugg","Keith Lugg"
"Aporrectodea caliginosa",SU724675,"Ryeish Green, Shinfield",2014/04/06,"Vicky Gilson","Vicky Gilson"
"Allolobophora chlorotica",SU724675,"Ryeish Green, Shinfield",2014/04/07,"Vicky Gilson","Vicky Gilson"
"Eisenia fetida",SU667830,"Emmens close, Checkendon",2014/03/29,"Vicky Gilson","Vicky Gilson"
"Satchellius mammalis",SU667830,"Emmens close, Checkendon",2014/04/27,"Vicky Gilson","Vicky Gilson"
"Octolasion lacteum",SU667830,"Emmens close, Checkendon",2014/04/27,"Vicky Gilson","Vicky Gilson"
"Murchieona muldali",SU667830,"Emmens close, Checkendon",2014/04/27,"Vicky Gilson","Vicky Gilson"
"Dendrobaena octaedra",SU667830,"Emmens close, Checkendon",2014/04/27,"Vicky Gilson","Vicky Gilson"
"Aporrectodea longa",SU667830,"Emmens close, Checkendon",2014/04/27,"Vicky Gilson","Vicky Gilson"
"Aporrectodea icterica",SU667830,"Emmens close, Checkendon",2014/04/27,"Vicky Gilson","Vicky Gilson"
"Aporrectodea icterica",SU667830,"Emmens close, Checkendon",2014/04/27,"Vicky Gilson","Vicky Gilson"
"Aporrectodea caliginosa",SU667830,"Emmens close, Checkendon",2014/04/27,"Vicky Gilson","Vicky Gilson"
"Aporrectodea caliginosa",SU667830,"Emmens close, Checkendon",2014/04/27,"Vicky Gilson","Vicky Gilson"
"Allolobophoridella eiseni",SU667830,"Emmens close, Checkendon",2014/04/27,"Vicky Gilson","Vicky Gilson"
"Allolobophora chlorotica",SU667830,"Emmens close, Checkendon",2014/04/27,"Vicky Gilson","Vicky Gilson"
"Eiseniella tetraedra",SU667830,"Emmens close, Checkendon",2014/06/20,"Vicky Gilson","Vicky Gilson"
"Allolobophoridella eiseni",SU776725,"Dinton Pastures Country Park: Site 5",2015/10/17,"Dan Carpenter","Becky Wilson"
"Lumbricus rubellus",SU784717,"Dinton Pastures Country Park: Site 1",2015/10/17,"Dan Carpenter","Becky Wilson"
"Octolasion lacteum",SU784717,"Dinton Pastures Country Park: Site 1",2015/10/17,"Dan Carpenter","Becky Wilson"
"Aporrectodea rosea",SU776725,"Dinton Pastures Country Park: Site 5",2015/10/17,"Dan Carpenter","Bernard Baverstock"
"Aporrectodea caliginosa",SU776725,"Dinton Pastures Country Park: Site 5",2015/10/17,"Dan Carpenter","Bernard Baverstock"
"Aporrectodea caliginosa",SU784717,"Dinton Pastures Country Park: Site 1",2015/10/17,"Dan Carpenter","Bernard Baverstock"
"Aporrectodea caliginosa",SU785726,"Dinton Pastures Country Park: Site 4",2015/10/17,"Dan Carpenter","Sasha Gorb"
"Lumbricus castaneus",SU784717,"Dinton Pastures Country Park: Site 1",2015/10/17,"Dan Carpenter","Sasha Gorb"
"Aporrectodea longa",SU784716,"Dinton Pastures Country Park: Site 2",2015/10/17,"Dan Carpenter","Sasha Gorb"
"Allolobophora chlorotica",SU784716,"Dinton Pastures Country Park: Site 2",2015/10/17,"Dan Carpenter","Sasha Gorb"
"Allolobophora chlorotica",SU714684,"Mere Oak Park",2015/01/27,"Keith Lugg","Keith Lugg"
"Lumbricus terrestris",SU714684,"Mere Oak Park",2015/03/05,"Keith Lugg","Keith Lugg"
"Allolobophora chlorotica",SU508942,"Sutton Courtenay",2013/04/13,"Richard Comont","Richard Comont"
"Lumbricus terrestris",SU506942,"Sutton Courtenay",2013/04/13,"Richard Comont","Richard Comont"
"Eisenia fetida",SU508939,"Sutton Courtenay",2014/01/19,"Richard Comont","Richard Comont"
"Lumbricus terrestris",SU507939,"Sutton Courtenay",2014/01/19,"Richard Comont","Richard Comont"
"Allolobophora chlorotica",SU784716,"Dinton Pastures Country Park: Site 2",2015/10/17,"Dan Carpenter","Keith Lugg"
"Aporrectodea caliginosa",SU784716,"Dinton Pastures Country Park: Site 2",2015/10/17,"Dan Carpenter","Keith Lugg"
"Lumbricus terrestris",SU784716,"Dinton Pastures Country Park: Site 2",2015/10/17,"Dan Carpenter","Keith Lugg"
"Eiseniella tetraedra",SU781718,"Dinton Pastures Country Park: Site 3",2015/10/17,"Dan Carpenter","Ben Crabb"
"Dendrodrilus rubidus",SU610634,"Decoy Heath BBOWT reserve",2016/03/02,"Keith Lugg","Keith Lugg"
"Eiseniella tetraedra",SU785726,"Dinton Pastures Country Park: Site 4",2015/10/17,"Dan Carpenter","Rachel Clark"
"Lumbricus rubellus",SU785726,"Dinton Pastures Country Park: Site 4",2015/10/17,"Dan Carpenter","Rachel Clark"
"Lumbricus terrestris",SU842699,"Pope's Meadow",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Lumbricus rubellus",SU842699,"Pope's Meadow",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Lumbricus castaneus",SU842699,"Pope's Meadow",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Aporrectodea rosea",SU842699,"Pope's Meadow",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Aporrectodea icterica",SU842699,"Pope's Meadow",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Aporrectodea caliginosa",SU842699,"Pope's Meadow",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Lumbricus rubellus",SU856704,"Tinker's Copse",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Lumbricus castaneus",SU856704,"Tinker's Copse",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Dendrodrilus rubidus",SU856704,"Tinker's Copse",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Dendrobaena octaedra",SU856704,"Tinker's Copse",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Dendrobaena octaedra",SU905685,"Englemere Pond",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Dendrobaena attemsi",SU907684,"Englemere Pond",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Dendrobaena attemsi",SU907684,"Englemere Pond",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Lumbricus castaneus",SU860704,"Garth Meadows",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Lumbricus castaneus",SU860704,"Garth Meadows",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Lumbricus rubellus",SU784717,"Dinton Pastures Country Park: Site 1",2015/10/17,"Dan Carpenter","Rachel Clark"
"Lumbricus castaneus",SU784717,"Dinton Pastures Country Park: Site 1",2015/10/17,"Dan Carpenter","Kerry Calloway"
"Lumbricus castaneus",SU714684,"Mere Oak Park",2015/03/05,"Keith Lugg","Keith Lugg"
"Aporrectodea longa",SU714684,"Mere Oak Park",2015/03/05,"Keith Lugg","Keith Lugg"
"Aporrectodea caliginosa",SU714684,"Mere Oak Park",2015/03/05,"Keith Lugg","Keith Lugg"
"Lumbricus terrestris",SU714684,"Mere Oak Park",2015/05/05,"Keith Lugg","Keith Lugg"
"Lumbricus castaneus",SU714684,"Mere Oak Park",2015/05/05,"Keith Lugg","Keith Lugg"
"Aporrectodea rosea",SU714684,"Mere Oak Park",2015/05/05,"Keith Lugg","Keith Lugg"
"Aporrectodea longa",SU714684,"Mere Oak Park",2015/05/05,"Keith Lugg","Keith Lugg"
"Aporrectodea caliginosa",SU714684,"Mere Oak Park",2015/05/05,"Keith Lugg","Keith Lugg"
"Allolobophora chlorotica",SU714684,"Mere Oak Park",2015/05/05,"Keith Lugg","Keith Lugg"
"Lumbricus castaneus",SU784717,"Dinton Pastures Country Park: Site 1",2015/10/17,"Dan Carpenter","Rachel Clark"
"Allolobophora chlorotica",SU714684,"Mere Oak Park",2015/05/05,"Keith Lugg","Keith Lugg"
